Epoch: 0 PSNR=24.623707178298236, SSIM=0.6499970945256137, MSE=32.23340587846955, gradientA=0, gradientB=0 
Epoch: 5 PSNR=22.300233749872948, SSIM=0.5451983473855083, MSE=25.12356225744415, gradientA=0, gradientB=0 
Epoch: 10 PSNR=22.395148195140333, SSIM=0.5234012522590472, MSE=22.891807246216267, gradientA=0, gradientB=0 
Epoch: 15 PSNR=22.04719978046947, SSIM=0.5015129915041572, MSE=22.5623168687268, gradientA=0, gradientB=0 
Epoch: 20 PSNR=20.850621683637787, SSIM=0.4829405126761153, MSE=22.682131333705694, gradientA=0, gradientB=0 
Epoch: 25 PSNR=22.27189301740939, SSIM=0.5370380201031275, MSE=23.01596866562195, gradientA=0, gradientB=0 
Epoch: 30 PSNR=22.942120465238258, SSIM=0.5685883551370576, MSE=22.813715887455356, gradientA=0, gradientB=0 
Epoch: 35 PSNR=21.2648429201063, SSIM=0.513308639396548, MSE=22.652966636649477, gradientA=0, gradientB=0 
Epoch: 40 PSNR=22.90630961082115, SSIM=0.5795838298959357, MSE=23.34827189220161, gradientA=0, gradientB=0 
Epoch: 45 PSNR=20.95869315005516, SSIM=0.4821564645652208, MSE=23.161427534329214, gradientA=0, gradientB=0 
Epoch: 50 PSNR=21.31379172277687, SSIM=0.47395601105396423, MSE=23.59851367700956, gradientA=0, gradientB=0 
Epoch: 55 PSNR=22.93079575127504, SSIM=0.553995969401789, MSE=24.121341459594444, gradientA=0, gradientB=0 
Epoch: 60 PSNR=22.273028762699884, SSIM=0.5078706765079551, MSE=24.27693574782713, gradientA=0, gradientB=0 
Epoch: 65 PSNR=22.23751460452441, SSIM=0.5219674495161685, MSE=25.156880675898336, gradientA=0, gradientB=0 
Epoch: 70 PSNR=22.561209664926277, SSIM=0.5255673206537362, MSE=25.24035296284248, gradientA=0, gradientB=0 
Epoch: 75 PSNR=22.36187497182178, SSIM=0.511466249801651, MSE=25.875965378128576, gradientA=0, gradientB=0 
Epoch: 80 PSNR=22.06987026247402, SSIM=0.47613140282711053, MSE=25.739912771516376, gradientA=0, gradientB=0 
Epoch: 85 PSNR=22.745693488352867, SSIM=0.5453933269238407, MSE=26.487994870943268, gradientA=0, gradientB=0 
Epoch: 90 PSNR=21.901488641191058, SSIM=0.47412786599114426, MSE=26.248198699175827, gradientA=0, gradientB=0 
Epoch: 95 PSNR=21.817082123439917, SSIM=0.5026425599696358, MSE=26.646527587903062, gradientA=0, gradientB=0 
Epoch: 100 PSNR=22.360316438877238, SSIM=0.5283685284818005, MSE=26.58974375767598, gradientA=0, gradientB=0 
Epoch: 105 PSNR=22.727539888327698, SSIM=0.5430705010597192, MSE=26.330492025125157, gradientA=0, gradientB=0 
Epoch: 110 PSNR=21.304464357132755, SSIM=0.43536922178672377, MSE=26.4161670338211, gradientA=0, gradientB=0 
Epoch: 115 PSNR=20.40171980916922, SSIM=0.4323244063299263, MSE=26.608448016247774, gradientA=0, gradientB=0 
Epoch: 120 PSNR=22.51301723297337, SSIM=0.5112886303694155, MSE=26.88759813958471, gradientA=0, gradientB=0 
